direccion,telefono,paginaweb,email,provincia_url,empresa_url
No se ha proporcionado,966 66 23 58,https://ctl-plagas.com,info@ctl-plagas.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/control-de-plagas-ctl-elx-agost/
"Av. del Colomer, 8, 03730 Xàbia, Alicante",965 79 28 33,https://ecoplagas.es,info@ecoplagas.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/javea/control-de-plagas-javea-tratamiento-de-madera-ecoplagas/
No se ha proporcionado,968 57 64 34,https://Ficha de GMB,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/control-natural-de-plagas-s-l-agost/
"C. Murcia, 25, 03005 Alicante",965 92 02 32,https://desinfeccionesalicante.com,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/control-de-plagas-desinfecciones-alicante-s-l-alicante-alacant/
"Av. Paris, 136, 03183 Torrevieja, Alicante",669 35 62 96,https://ddt-torrevieja.es,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/torrevieja/ddt-torrevieja-plagas-torrevieja/
"Av. Dr. Gregorio Marañón, 68, 03185 Torrevieja, Alicante",691 58 65 88,https://alquimiaintegral.com,info@alquimiaintegral.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/torrevieja/control-de-plagas-alquimia-integral-torrevieja/
"Carrer D'Antonio Trueba, 03012 Alacant, Alicante",634 53 04 82,https://ozoncontrol.com,denuncias@ozoncontrol.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/ozoncontrol-alicante-alicante-alacant/
"Los 03316, C/ de Garcia Gutierrez, 25, 03013 Alacant, Alicante",676 99 71 93,https://Ficha de GMB,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/ecofumigaciones-y-triturados-el-pirana-alicante-alacant/
"Carrera l'del Asteroide, 8, 03007 Alacant, Alicante",902 75 07 58,https://ambiqai.com,info@ambiqai.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/control-de-plagas-ambiqai-sanidad-ambiental-alicante-alacant/
"C. del Dracma, 30, nave 9, 03114 Alicante",966 23 00 18,https://ecoplagas.es,info@ecoplagas.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/ecoplagas-alicante-alacant/
"C. Meteorito, 59, 03006 Alicante",965 10 36 00,https://lokimica.com,lokimica@lokimica.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/empresa-de-control-de-plagas-lokimica-s-a-delegacion-alicante-alicante-alacant/
"Carrer Salvador i Vicente Pérez Lledó, 6, 03110 Mutxamel, Alicante",965 95 27 50,https://higienisa.es,albacete@higienisa.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/mutxamel/control-de-plagas-higienisa-mutxamel/
"Av. Alfonso El Sabio, 34, 6 C, 03004 Alicante",657 40 21 94,https://gmsanidadambiental.es,info@gmsanidadambiental.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/gm-sanidad-ambiental-control-de-plagas-en-alicante-alicante-alacant/
"Carrer Ausiàs March, 5, Bloque 1, 3º E, 03700 Dénia, Alicante",685 15 27 25,https://iberplagas.com,info@iberplagas.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/denia/iberplagas-denia/
"C. Mercuri, 16, B1, 03690 Sant Vicent del Raspeig, Alicante",965 14 41 15,https://Ficha de GMB,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/san-vicente-del-raspeig/secoma-control-de-plagas-san-vicente-del-raspeig/
"03290 Elche, Alicante",634 53 04 82,https://ozoncontrol.com,denuncias@ozoncontrol.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elche/ozoncontrol-elche/
"P.º Marítimo Mojón, 23, 03191 El Mojón, Alicante",685 15 27 25,https://iberplagas.com,info@iberplagas.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/el-mojon/iberplagas-el-mojon/
"C. Cid, 15, 03400 Villena, Alicante",966 15 15 22,https://controldeplagasd3.com,contacta@controldeplagasd3.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/villena/control-de-plagas-d3-salud-ambiental-villena/
"Calle del Yen, 104, buzón 20175 Polígono Industrial, 03114 Alicante",965 11 06 08,https://higienetodo.es,info@higienetodo.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/control-de-plagas-y-limpieza-de-depositos-en-alicante-higienetodo-desinfecciones-alicante-alacant/
"C. Uruguay, 5, 03600 Elda, Alicante",722 19 54 50,https://Ficha de GMB,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elda/control-de-plagas-grupo-servidella-elda/
"Carrer Pablo Surra de Garay, 46, 03205 Elx, Alicante",661 06 66 70,https://dylnarsanidadambiental.es,info@dylnarsanidadambiental.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elche/control-de-plagas-dylnar-sanidad-ambiental-elche/
"C. Clavo, 20, 03189 Dehesa de Campoamor, Alicante",685 41 39 39,https://ajaxcontrol.com,ajaxcontrol2020@gmail.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/dehesa-de-campoamor/ajax-control-empresa-de-control-de-plagas-y-desinfeccion-dehesa-de-campoamor/
"Polígono Industrial Canastell Calle Clavo, 13, nave 5, 03690 Sant Vicent del Raspeig, Alicante",900 844 083,https://higiaiberica.com,info@higiaiberica.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/san-vicente-del-raspeig/control-de-plagas-higia-alicante-san-vicente-del-raspeig/
"Av. de Dolores, 17, 03203 Elx, Alicante",966 63 65 58,https://sanielx.es,sanielx@sanielx.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elche/control-de-plagas-sanielx-elche/
"C. Villa Madrid, 2, Local 3, 03181 Torrevieja, Alicante",965 71 67 93,https://distmartorrevieja.com,infodistmar@gmail.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/torrevieja/control-de-plagas-distmar-torrevieja/
No se ha proporcionado,680 17 16 56,https://plaguipool.com,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/plaguipool-agost/
"Polígono Industrial La Cala, Carrer Alfaz del Pi, 11, 03509 Finestrat, Alicante",966 81 19 17,https://microservices.es,administracion@microservices.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/finestrat/control-de-plagas-microservices-finestrat/
No se ha proporcionado,626 43 12 75,https://controldeplagasmartinez.es,info@plagasmartinez.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/control-de-plagas-martinez-fumigaciones-cucarachas-murcia-fumigar-termitas-desinfecciones-agost/
"Carrer Pintor Sorolla, 28, 03550 Sant Joan d'Alacant, Alicante",965 65 83 02,https://gar-san.com,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/san-juan-de-alicante/gar-san-control-de-plagas-s-l-san-juan-de-alicante/
No se ha proporcionado,626 43 12 75,https://plagasmartinez.es,info@plagasmartinez.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/plagas-martinez-control-de-plagas-cartagena-fumigaciones-desinfecciones-eliminar-cucarachas-agost/
"C. Alisios, 120, Nave 49, 03006 Pol. Ind. Pla de la Vallonga, Alicante",965 11 10 05,https://afrides.es,afrides@hotmail.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/poligono-industrial-pla-de-la-vallonga/afrides-control-de-plagas-alicante-poligono-industrial-pla-de-la-vallonga/
"Carrer Torres Quevedo, 47, 03204 Elx, Alicante",966 63 06 60,https://sanydes.com,info@sanydes.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elche/control-de-plagas-sanydes-elche/
"Camí de les Cases Juntes, 360, 03290 Elx, Alicante",634 53 04 82,https://ozoncontrol.com,denuncias@ozoncontrol.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elche/ozoncontrol-elche-2/
"Pl. Reis Catòlics, 26, 03204 Elx, Alicante",629 38 56 05,https://ambilimpio.com,ambilimpio@gmail.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elche/control-de-plagas-ambiente-limpio-elche/
"Calle Mestre José Esteve Solbes, 4, 03830 Muro de Alcoy, Alicante",635 26 65 30,https://alaplaga.es,facturacion@alaplaga.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/muro-de-alcoy/alaplaga-muro-de-alcoy/
"Avinguda de la Marina, 109, 03720 Benissa, Alicante",686 59 55 71,https://mosquitobusters.eu,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/benisa/control-de-plagas-mosquito-busters-benisa/
"Carrer de la Setla, 1, 03700 Dénia, Alicante",965 78 15 38,https://desindi.es,admin@desindi.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/denia/control-de-carcoma-desindi-c-b-denia/
"C. Constitución, 11, 03170 Rojales, Alicante",965 08 29 39,https://tarsilopestcontrol.com,contactoweb@tarsilopestcontrol.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/rojales/tarsilo-control-de-plagas-fumigacion-y-desinfeccion-pest-control-services-rojales/
No se ha proporcionado,965 50 36 79,https://anticimex.es,protecciondedatos@anticimex.com.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/control-de-plagas-anticimex-3d-alicante-agost/
"Av. d'Alacant, 59, 03202 Elx, Alicante",965 42 92 86,https://plaguisa.com,formularioplaguisa@gmail.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/elche/plaguisa-elche/
"Avinguda Catalanet, 3, 03130 Santa Pola, Alicante",629 38 56 05,https://ambilimpio.com,ambilimpio@gmail.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/santa-pola/control-de-plagas-ambiente-limpio-santa-pola/
"Carrer Divina Pastora, 2, 03510 Callosa d'en Sarrià, Alicante",627 02 97 30,https://desinfeccionesdelamarina.com,info@desinfeccionesdelamarina.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/callosa-de-ensarria/control-de-plagas-desinfecciones-de-la-marina-callosa-de-ensarria/
"C. Mistral, 157, 03006 Pol. Ind. Pla de la Vallonga, Alicante",966 35 99 94,https://ecomol.es,info@ecomol.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/poligono-industrial-pla-de-la-vallonga/ecomol-salud-ambiental-y-control-de-plagas-y-termitas-poligono-industrial-pla-de-la-vallonga/
"Av. Padre Ismael, 84, 03680 Aspe, Alicante",658 88 22 78,https://gmsanidadambiental.es,info@gmsanidadambiental.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/aspe/control-de-plagas-g-m-sanidad-ambiental-aspe/
"Carrer Calvari, 10, LOCAL, 03580 l'Alfàs del Pi, Alicante",966 80 11 41,https://desinfeccionescarrasco.com,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alfaz-del-pi/control-de-plagas-desinfecciones-carrasco-alfaz-del-pi/
"Nave 5 (POL. IND. CANESTELL, C. el Clavo, 13, nave 5, 03690 Sant Vicent del Raspeig, Alicante",900 649 140,https://actualiagrupo.com,info@actualiagrupo.com,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/san-vicente-del-raspeig/control-de-plagas-actualia-alicante-san-vicente-del-raspeig/
"Av. de la Comunitat Valenciana, 7 local 16, Locales Cibeles, 03502 Benidorm, Alicante",966 83 14 04,https://aplides.com,soporte@linksolutions.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/benidorm/aplides-control-de-plagas-benidorm/
"Carrer del Dipòsit, 26, 03750 Pedreguer, Alicante",676 90 28 20,https://desinfeccionesramiro.com,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/pedreguer/control-de-carcoma-desinfecciones-ramiro-pedreguer/
No se ha proporcionado,625 22 53 73,https://offfinsect.com,afa.controlplagas@hotmail.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/aguadulce/offfinsect-desratizacion-desinsectacion-fumigaciones-control-de-plagas-aguadulce/
"C. Soldado Español, 10, 04004 Almería",900 928 080,https://traconsa.com,traconsa@traconsa.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/traconsa-empresa-especializada-en-control-de-plagas-y-legionella-almeria/
"Carretera Níjar - la Cañada, 195, 04130 El Alquián, Almería",950 56 53 07,https://controlbio.es,info@controlbio.es,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/el-alquian/control-bio-el-alquian/
No se ha proporcionado,611 69 45 00,https://controlplagassevilla.es,gruporesulima@gmail.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/aguadulce/control-de-plagas-sevilla-nrs-servicios-ambientales-aguadulce/
No se ha proporcionado,691 09 80 89,https://plagasol.es,desinfecciones@plagasol.es,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/aguadulce/plagasol-sevilla-aguadulce/
"Pol. Ind. de San Rafael, C. Rosita, 19, 04230 Huércal de Almería, Almería",950 26 35 55,https://hisasur.com,,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/huercal-de-almeria/hisasur-control-de-plagas-y-tratamientos-higienicos-huercal-de-almeria/
"Pol. Ind. la Redonda, C. Bremen, 2, 04710 Santa María del Águila, Almería",950 60 34 03,https://Ficha de GMB,,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/santa-maria-del-aguila/control-de-plagas-bioline-iberia-santa-maria-del-aguila/
No se ha proporcionado,955 13 94 93,https://offfinsect.com,afa.controlplagas@hotmail.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/aguadulce/control-de-plagas-offf-insect-aguadulce/
"Av. Federico García Lorca, 2, 04004 Almería",616 99 70 91,https://controlplag.com,info@controlplag.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/control-plag-sl-almeria/
"C. Cuenca, 4, 04007 Almería",950 27 20 00,https://hisal.es,hisal@hisal.es,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/hisal-control-de-plagas-almeria-empresa-de-fumigacion/
No se ha proporcionado,609 66 98 90,https://seviplagas.com,info@seviplagas.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/aguadulce/fumigacion-sevilla-seviplagas-aguadulce/
No se ha proporcionado,659 64 00 57,https://marplaga.com,marplagasl@hotmail.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/abla/control-de-plagas-marplaga-roquetas-fumigaciones-desratizacion-el-ejido-adra-berja-nijar-abla/
"Dique Sur Puerto Pesquero de Almería 105, 04002, 04002 Almería",950 23 50 90,https://wix.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/control-de-plagas-trahinsur-s-l-almeria/
No se ha proporcionado,633 19 87 34,https://teneplagas.com,info@teneplagas.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/aguadulce/teneplagas-sevilla-aguadulce/
"C. Mosaico, 15, 04700 El Ejido, Almería",950 57 10 16,https://agropalservicios.com,agropal@agropalservicios.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/el-ejido/agropal-control-de-plagas-y-servicios-el-ejido/
"Blvr. Cdad. de Vícar, 1143, 04738 Puebla de Vícar, Almería",950 88 77 66,https://killsur.com,higiene@killsur.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/puebla-de-vicar/killsur%e3%80%90control-de-plagas-%e3%80%91-puebla-de-vicar/
No se ha proporcionado,625 69 39 42,https://thmediterraneo.com,thmediterraneo@gmail.com,https://amisando.es/servicios/almeria/,https://amisando.es/servicios/almeria/abla/tratamientos-higienicos-mediterraneo-s-l-control-de-plagas-abla/
"Hedegile Kalea, 27, 01001 Gasteiz, Araba",945 28 56 08,https://amalur.es,amalur@amalur.es,https://amisando.es/servicios/araba/,https://amisando.es/servicios/araba/vitoria-gasteiz/amalur-control-de-plagas-alava-bizkaia-gipuzkoa-navarra-la-rioja-vitoria-gasteiz/
"Adriano VI Kalea, 1, 01008 Gasteiz, Araba",945 01 51 26,https://controldeplagaspasser.com,contacto@controldeplagaspasser.com,https://amisando.es/servicios/araba/,https://amisando.es/servicios/araba/vitoria-gasteiz/control-de-plagas-passer-vitoria-gasteiz/
"Zorrolleta Kalea, 7, 01015 Gasteiz, Araba",945 29 24 10,https://daraba.es,,https://amisando.es/servicios/araba/,https://amisando.es/servicios/araba/vitoria-gasteiz/desinfecciones-daraba-control-de-plagas-vitoria-gasteiz/
"Av. Galicia, 29, 33450 Piedras Blancas, Asturias",985 53 10 67,https://jardineriacastrillon.es,jardineriacastrillon@hotmail.com,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/piedras-blancas/control-de-aves-jardineria-castrillon-piedras-blancas/
"Polígono SIA Cooper Edificio Centroastur, bajo I, 33420 Lugones, Asturias",985 20 30 06,https://exir.es,exir@exir.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/lugones/exir-control-de-plagas-lugones/
"Polígono de Asipo Calle A Parcela 5, C. A, 25A, Nave C, 33428 Cayés, Asturias",651 47 76 56,https://viralsanid.es,info@viralsanid.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/cayes/control-de-plagas-viral-sanid-cayes/
"Calle Periodistas Cepeda 4. Local 6, 33013 Oviedo, Asturias",985 25 47 05,https://interplaga.com,info@interplaga.com,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/oviedo/interplaga-oviedo/
"C. Sta. Eladia, 26, Local, 33210 Gijón, Asturias",985 58 37 06,https://dexastur.com,contacto@dexastur.com,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/gijon/control-de-plagas-dexastur-sanidad-ambiental-gijon/
"C. González Besada, 51, 33007 Oviedo, Asturias",607 94 29 30,https://plagasycontrol.es,info@plagasycontrol.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/oviedo/control-de-carcoma-patrocinado-oviedo/
"C. Alfredo Liñero Ribero, 255, 33211 Gijón, Asturias",985 32 05 81,https://asturhigiene.es,info@asturhigiene.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/gijon/control-de-plagas-asturhigiene-gijon/
"Tr.ª de la Industria, 37, 33401 Avilés, Asturias",985 52 12 85,https://saniastur.es,info@saniastur.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/aviles/control-de-plagas-saniastur-sl-aviles/
"C. Ponteo, 76, 33860 Salas, Asturias",656 91 95 53,https://nortecontrol.es,info@nortecontrol.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/salas/nortecontrol-salas/
"P.I. Muniello Pervero Nave 12- 12, 33492 Pervera, Asturias",985 16 93 33,https://astursa.es,infoastursa@gmail.com,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/pervera/control-de-plagas-laboratorios-astursa-pervera/
"C. González Besada, 51, 33007 Oviedo, Asturias",607 94 29 30,https://plagasycontrol.es,info@plagasycontrol.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/oviedo/plagas-control-oviedo/
"Calle Camino de la Cerámica, 4, 33194 Oviedo, Asturias",985 28 86 11,https://campoastur.es,campoastur@campoastur.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/oviedo/control-de-aves-campoastur-oviedo/
"Polígono de La Estacion Nº 1, AS-383, 33429 Viella, Asturias",No disponible,https://agraliajardin.com,contacto@agraliajardin.com,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/viella/control-de-plagas-agralia-del-principado-s-l-viella/
"Av. el Campón, 54, 33405 Salinas, Asturias",900 901 076,https://rentokil.com,,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/salinas/control-de-plagas-rentokil-initial-salinas/
"C. de Mariano Pola, 25, 33212 Gijón, Asturias",985 32 92 52,https://grupolacampa.es,info@grupolacampa.es,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/gijon/control-de-plagas-limpiezas-la-campa-gijon/
"Calle Dr. Aquilino Hurlé, 47, 33203 Gijón, Asturias",628 61 68 14,https://tecnicarcoma.es,,https://amisando.es/servicios/asturias/,https://amisando.es/servicios/asturias/gijon/tecnicarcoma-gijon/
"C. Hornos Caleros, 33, 05003 Ávila",608 91 77 82,https://sanides.net,sanides@sanides.net,https://amisando.es/servicios/avila/,https://amisando.es/servicios/avila/sanides-control-de-plagas-avila/
"Cam. Gansino, 4, PORTAL 1-1º B, 05003 Ávila",615 15 26 84,https://nabart.es,nabart@nabart.es,https://amisando.es/servicios/avila/,https://amisando.es/servicios/avila/control-de-plagas-nabart-avila/
"Urb. Prado de las Heras, 27, 05429 Santa María del Tiétar, Ávila",667 21 78 57,https://tietarcontroldeplagas.com,,https://amisando.es/servicios/avila/,https://amisando.es/servicios/avila/santa-maria-del-tietar/tietar-control-de-plagas-santa-maria-del-tietar/
"C/. Torres Quevedo Manzana 5.1, Nave C P.I. LAS CUMBRES, 06400 Don Benito, Badajoz",924 83 17 80,https://rocadefisan.es,ad@rocadefisan.es,https://amisando.es/servicios/badajoz/,https://amisando.es/servicios/badajoz/don-benito/control-de-plagas-roca-defisan-don-benito/
No se ha proporcionado,655 48 42 79,https://naturplagas.com,info@naturplagas.com,https://amisando.es/servicios/badajoz/,https://amisando.es/servicios/badajoz/acedera/naturplagascaceres-acedera/
