empresa,website,platform,is_alive,email,telefono,ficha_url
ModainfantilNoadar,https://www.modainfantilnoadar.com/,,0,,961044022,http://www.seraportiendasonline.com/1455.moda-infantil
Modrego hogar,https://www.modregohogar.com,prestashop,1,,933579721,http://www.seraportiendasonline.com/749.modregohogarcom-tu-establecimiento-online-para-tus-compras-en-ferreteria-menaje-iluminacion-electricidad-jardineria-electrodomes
Motufashion,https://www.motufashion.com,,0,,633421834,http://www.seraportiendasonline.com/377.tienda-online-de-ropa-femenina-sexy
Mucho más que ropa de trabajo,https://www.muchomasqueropadetrabajo.com/,,1,info@muchomasqueropadetrabajo.com,647771962,http://www.seraportiendasonline.com/1560.vestuario-laboral-y-equipos-de-proteccion
Nahimana | Moda online,https://nahimana.es,,0,,674902410,http://www.seraportiendasonline.com/2224.moda-sensual-online-de-mujer
Napdad,,,0,,,http://www.seraportiendasonline.com/506.
Nico y Nicoletta,https://www.nicoynicoletta.com/,prestashop,1,,988618130,http://www.seraportiendasonline.com/1859.empresa-online-especializada-en-ropa-infantil
NUBES,https://nubesmodainfantil.es/,,0,,958264667,http://www.seraportiendasonline.com/1901.moda-infantil
Oh Maggie,https://www.oh-maggie.com,,0,,961081889,http://www.seraportiendasonline.com/1889.tienda-de-ropa-moderna-casual-o-vintage
OLIVIA CUCU,https://www.oliviacucu.com/es/,,0,,615234379,http://www.seraportiendasonline.com/1899.venta-de-moda-y-complementos-infantiles
Olyuguant,https://www.olyuguant.com/,,0,,910327898,http://www.seraportiendasonline.com/1880.lo-mas-cool-en-moda-deco-y-estilo
Onzor,https://www.ropalaboralonzor.com,prestashop,1,,913665227,http://www.seraportiendasonline.com/2044.tienda-de-ropa-de-trabajo-vestuario-laboral
Óptica Sagasta,https://opticasagasta.com/,,0,,955712168,http://www.seraportiendasonline.com/1641.gafas-de-sol-gafas-graduadas-lentillas-y-audifonos
Ositos Bebé,https://ositosbebe.com/,,1,,info@ositosbebe.com,http://www.seraportiendasonline.com/2397.tienda-online-moda-infantil
OUTLET REGALOS,https://www.outletregalos.es,,0,,949874544,http://www.seraportiendasonline.com/2221.tienda-online-y-fisica-para-los-mas-pequenos-de-la-casa-y-no-tan-pequenos
Papos,https://www.tiendaspapos.com/,,0,,963522769,http://www.seraportiendasonline.com/1098.tiendas-papos-es-una-red-de-establecimientos-de-moda-infantil-y-zapateria-para-bebe-ninos-y-jovenes-todos-nuestros-productos-son
paranenesynenas,https://www.paranenesynenas.es/,prestashop,1,info@paranenesynenas.es,956395074,http://www.seraportiendasonline.com/1678.tienda-bebe-online
Pb29.es,https://pb29.es,,0,,625702443,http://www.seraportiendasonline.com/914.pb29es-la-tienda-online-de-moda-firmas-y-disenadores-contemporaneos
Peñanegra Textil,https://xn--peanegratextil-rnb.com/,prestashop,1,tienda@xn--peanegratextil-rnb.com,920367176,http://www.seraportiendasonline.com/2364.tienda-online-de-moda-y-del-hogar
Peque y Bebés,https://www.pequesybebes.es/,,0,,Stuweb,http://www.seraportiendasonline.com/1902.tienda-online-de-ropa-de-bebe
Pequeños Gigantes,http://www.pequenosgigantes.es,,0,,628845693,http://www.seraportiendasonline.com/1227.tienda-infantil-de-los-personajes-favoritos-de-los-ninos
Pequesybebes,https://www.pequesybebes.es/,,0,,stuweb,http://www.seraportiendasonline.com/1415.tienda-infantil
perchitas.com,https://www.perchitas.com/,,0,,955517397,http://www.seraportiendasonline.com/933.ropa-ninos-online
Petit Coco,https://www.petitcococucos.com/,,0,,966551576,http://www.seraportiendasonline.com/1570.ropa-infantil-y-productos-de-puericultura-en-alicante
Pettegole,https://www.pettegole.com/,,0,,917568258,http://www.seraportiendasonline.com/2260.proveedores-de-ropa-al-por-mayor-online
Pianno 39,https://pianno39.com/,prestashop,1,,652868114,http://www.seraportiendasonline.com/1992.outlet-moda-online
Pianno39,http://tienda.pianno39.com,prestashop,1,,652868114,http://www.seraportiendasonline.com/565.venta-online-de-moda-y-complementos
PICOTEX CRECIENDO JUNTOS,https://www.picotexcreciendojuntos.com,,0,,688887676,http://www.seraportiendasonline.com/2087.tienda-online-de-ropa-para-bebes-ninos-y-ninas
Promod,https://www.promod.es,,1,,913819380,http://www.seraportiendasonline.com/163.tienda-online-de-ropa-bisuteria-y-complementos-para-la-mujer
Puestounavez,https://www.puestounavez.es,,0,,954000000,http://www.seraportiendasonline.com/1210.ropa-infantil-ninos-y-bebes-online-de-segunda-mano
Que me pongo,https://www.que-mepongo.com,wordpress,1,,962383581,http://www.seraportiendasonline.com/496.tienda-online-de-productos-de-ropa-marcas-de-ropa-outlet
Queen's Online,https://www.queensonline.es/,,0,,977395319,http://www.seraportiendasonline.com/2267.tu-tienda-de-ropa-low-cost-online
Re Low,https://www.re-low.com,,1,,638661903,http://www.seraportiendasonline.com/915.en-re-low-puedes-encontrar-casi-cualquier-cosa-que-encuentres-ademas-tambien-ofrecemos-un-servicio-de-venta-de-segunda-mano
Regalos Omega,https://www.regalosomega.com,,0,,944820366,http://www.seraportiendasonline.com/981.regalosomegacom--se-ha-creado-para-ofrecer-mas-producto-y-facilidad-de-compra-a-los-clientes-y-principalmente-un-gran-numero-de-
RELOGICA,https://www.relogica.es,,0,,954998801,http://www.seraportiendasonline.com/1551.precios-con-logica
RIKKITIKKITAVI. Camisetas ilustradas y mucho más….,https://www.rikkitikkitavi.es,,0,,+34911302414,http://www.seraportiendasonline.com/577.rikkitikkitavi
Rogersev,https://www.rogersev.com,,1,administracion@rogersev.com,961663132,http://www.seraportiendasonline.com/81.tienda-online-de-uniformes-y-vestuario-profesional-para-empresas
Ropa Decoración Adornos,https://www.ropadecoracionyadornos.com,,0,,633251300,http://www.seraportiendasonline.com/907.articulos-exclusivos-de-ropa-decoracion-y-bisuteria
Roundtrip Shop,https://www.roundtripshop.com,shopify,1,contacto@roundtripshop.com,947042371,http://www.seraportiendasonline.com/1410.nos-apasiona-la-moda-y-los-deportes-urbanos-contamos-con-las-marcas-bench-skunkfunk-iriedaily-hydroponic-circa-dakine-timezone-g
Segunda Gacela Outlet,https://www.segundamanogacela.com,prestashop,1,,637220303,http://www.seraportiendasonline.com/1827.tienda-de-segunda-mano
Selecta Vip,https://selectavip.com,,0,,640674527,http://www.seraportiendasonline.com/1380.tienda-selecta-online-ropa-marca-para-chicos-y-chicas-marcas-moda-vip-hombre-mujer
shokomoda,https://shokomoda.com,,0,,628271080,http://www.seraportiendasonline.com/1972.wwwshokomodacom-es-una-tienda-de-venta-on-line-de-ropa-y-complementos-para-mujer
Shopping Center Magui,https://www.shoppingcentermagui.com,,0,,657869490,http://www.seraportiendasonline.com/734.bikinis-exclusivos
Sin Cuentos,https://www.sincuentos.es,,0,,984039634,http://www.seraportiendasonline.com/2190.moda-infantil-online
Siroco Mojacar,https://www.indalas.com,prestashop,1,bysiroco@indalas.com,615205517,http://www.seraportiendasonline.com/2182.zapateria-online-barata-zapatos-de-mujer-baratos
SkateSpain,https://www.skatespain.com,shopify,1,,633630035,http://www.seraportiendasonline.com/1945.la-mayor-tienda-de-skate-online
Soccerfactory,https://www.soccerfactory.es/,,1,,955601500,http://www.seraportiendasonline.com/1234.equipaciones-de-futbol
Somos Papas,https://www.somospapas.com,,0,,690621585,http://www.seraportiendasonline.com/325.tienda-online-de-productos-para-bebes-y-mamas
Sport House,https://www.sporthouse.es/,,0,,+34955667487,http://www.seraportiendasonline.com/1658.tienda-de-ropa-de-baloncesto-en-sevilla
SuCesta,https://www.sucesta.com/,,0,,971417856,http://www.seraportiendasonline.com/812.sucestacom-plataforma-de-comercio-electronico-comercios-fisicos-y-central-de-ventas-calidad-y-servicio-al-mejor-precio
suen,https://www.suenmoda.com,,1,suenmoda@hotmail.es,931402817,http://www.seraportiendasonline.com/1978.tienda-de-vestidos-de-fiesta-baratos
Swee1.com,https://tiendaswee1.com/,,0,,954222291,http://www.seraportiendasonline.com/1940.tienda-online-de-moda-y-complementos
Taille-Plus,https://www.taille-plus.com,wordpress,1,,962904155,http://www.seraportiendasonline.com/1587.tienda-de-ropa-en-tallas-grandes
Tedy 81,https://www.tedy81.com/,,0,,923262919,http://www.seraportiendasonline.com/1026.venta-on-line-de-ropa-y-complementos-de-marcas-como-denny-rose-armani-jeans-moschinoetc
TELECAJAS DE CARTÓN A DOMICILIO,https://www.telecajas.com,shopify,1,info@telecajas.com,sera11221122,http://www.seraportiendasonline.com/1260.cajas-de-carton-embalajes-packs-de-mudanza-accesorios-para-mudanzas
Tienda de ropa online Piel Diez,https://www.pieldiez.com,,0,,923440283,http://www.seraportiendasonline.com/869.tienda-online-de-ropa-de-hombre-mujer-tambien-tallas-grandes-infantil-nino-nina-y-bebe
Tienda online Museo Marítimo Ría de Bilbao,https://www.museomaritimobilbao.org/mmrb/web/tienda/index.asp?cod=42D4CCEC-A3B2-4DAE-8717-C81858C1F3D5,,0,,946085500,http://www.seraportiendasonline.com/634.articulos-de-decoracion-libreria-y-ropa-nautica
Tiendas en Bilbao,https://www.tiendasenbilbao.com,,0,,608692090,http://www.seraportiendasonline.com/980.escaparates-de-tiendas-y-comercios-de-bilbao
TiendaSaro.es,,,0,,,http://www.seraportiendasonline.com/552.
Tierrasabia,https://www.tierrasabia.es,prestashop,1,,609160802,http://www.seraportiendasonline.com/2034.productos-ecologicos-y-respetuosos-con-el-medio-ambiente
Tintorería Olimpia,https://www.tintoreriaolimpia.es/,wordpress,1,,954632969,http://www.seraportiendasonline.com/1515.tintoreria-y-lavanderia
Tiny Barcelona,https://www.tinybarcelona.com,,0,,+34617401901,http://www.seraportiendasonline.com/497.tienda-online-de-ropa-especializada-para-ninos-de-0-a-6-anos
Todo para el cole,https://www.todoparaelcole.com,prestashop,1,,692616600,http://www.seraportiendasonline.com/327.tienda-online-de-uniformes-escolares-y-comunion
Todo Vestidos,https://www.todovestidos.es,,0,,608929594,http://www.seraportiendasonline.com/947.tienda-online-barata-de-mujer
Tribugótica: Tienda Gótica y alternativa online,https://www.tribugotica.com,,1,,628103938,http://www.seraportiendasonline.com/702.tienda-emogotica-punk-pin-up-metal-online
tu estilo - moda mujer,https://www.tuestilo.eu,wordpress,1,,911668170,http://www.seraportiendasonline.com/2234.tu-estilo-–-moda-de-mujer-las-ultimas-tendencias-en-ropa-femenina-como-vestidos-blusas-monos-y-en-lenceria-fina
Two Ducks,https://www.twoducks.es,wordpress,1,,620111540,http://www.seraportiendasonline.com/1701.tienda-online-de-ropa-moda-outfits-bisuteria-y-complementos-siempre-al-mejor-precio-calidad-y-servicio
UniformesWeb,https://uniformesweb.es/,prestashop,0,comercial@uniformesweb.es,902646138,http://www.seraportiendasonline.com/1001.tienda-de-venta-de-ropa-de-trabajo-uniformes-de-trabajo-y-ropa-laboral
Vestiu,https://www.vestiu.com/,,0,,961500735,http://www.seraportiendasonline.com/2220.vestiu-tienda-de-ropa-infantil
Vinadel Fashion,https://www.vinadelfashion.com,,0,,672129855,http://www.seraportiendasonline.com/2098.ropa-de-mujer-complementos-y-moda-femenina
Wrong,https://wrong-culture.com/,,0,,617859530,http://www.seraportiendasonline.com/2326.hand-printed-urban-fair-wear
www.NinaRos.com,https://www.ninaros.com,,0,,on line,http://www.seraportiendasonline.com/1063.venta-online-de-ropa-de-segunda-mano
www.todovestidos.es,https://www.todovestidos.es,,0,,608929594,http://www.seraportiendasonline.com/1069.tienda-de-mujer-super-barata-desde-495-€-vestidos-bikinis-bolsos-lenceria
Xeitoso Moda,https://www.xeitosomoda.com,,0,,36023854,http://www.seraportiendasonline.com/1594.tienda-online-de-moda-y-ropa-de-mujer-en-espana
Zone Sport,https://zonesport.es,,0,,605888332,http://www.seraportiendasonline.com/712.tienda-online-de-productos-deportivos-con-importantes-descuentos
Ana Nebrixa 1941,https://ananebrixa1941.com,,0,,608586988,http://www.seraportiendasonline.com/2370.serums-de-pestanas
Artesanoteca,https://www.artesanoteca.com,,0,,965213896,http://www.seraportiendasonline.com/648.artesanoteca-surge-con-la-idea-de-agrupar-artesanos-que-realmente-disfrutan-del-trabajo-que-realizan
"Avenio, Joyas y Complementos",,,0,,,http://www.seraportiendasonline.com/357.
Barlet. Anillos de Compromiso y Diamantes,http://www.diamantesbarlet.com,,0,,902013876,http://www.seraportiendasonline.com/578.barlet
Carlo's Joyero,https://www.joyeriasrelojeriascarlos.com,wordpress,1,info@joyeriasrelojeriascarlos.com,927260090,http://www.seraportiendasonline.com/1954.tienda-de-relojes-y-joyas
Carlos Joyero,https://joyeriasrelojeriascarlos.com,wordpress,1,info@joyeriasrelojeriascarlos.com,927260090,http://www.seraportiendasonline.com/2147.el-mejor-establecimiento-para-encontrar-joyas-collares-y-perlas
Cucatu. Bisutería y Complementos,https://cucatu.com,,0,,626908071,http://www.seraportiendasonline.com/1728.bisuteria-y-complementos-de-moda-y-regalo
Deseos de plata,https://www.deseosdeplata.com,,0,,676682448,http://www.seraportiendasonline.com/1734.la-mejor-joyeria-de-plata-online
Diamantisimo,https://www.diamantisimo.com,,0,,902005855,http://www.seraportiendasonline.com/85.tienda-de-joyeria-online-venta-de-joyas-de-diseno-diamantes
DTOTVALLES,https://www.dtotvalles.es,,0,,606678367,http://www.seraportiendasonline.com/1316.joyeria-online-y-bisuteria-barata
Estilograficas.com,https://www.estilograficas.com,prestashop,0,,668816770,http://www.seraportiendasonline.com/663.estilograficascom--tienda-de-plumas-estilograficas-boligrafos-y-rollers
Frambuesa Joyeria,https://www.frambuesajoyeria.com,,0,,3204017883,http://www.seraportiendasonline.com/1068.distribuidora-en-colombia-de-joyeria-y-joyas-en-acero-al-por-mayor-en-colombia
Gemelos Mania,https://www.gemelosmania.com/,,0,,652335175,http://www.seraportiendasonline.com/924.tienda-online-de-gemelos-para-camisa
Grupo Marina,https://grupomarina.es/,wordpress,1,info@grupomarina.es,670201330,http://www.seraportiendasonline.com/2367.grupo-marina-tu-joyeria-y-perfumeria-online-de-confianza
Hispatronic,https://www.hispatronic.com,,1,,661605033,http://www.seraportiendasonline.com/1004.venta-de-articulos-de-electronica-regalos-originales-complementos-deportivos-accesorios-para-movil-y-todo-tipo-de-productos-a-lo
Industrias Élite,https://www.industriaselite.com/,wordpress,1,comercial@eliteartesanos.com,954381505,http://www.seraportiendasonline.com/1278.fabricantes-de-artesania-religiosa
Joan Pere - Joyería Online,https://joan-pere.com/,wordpress,1,juanpedrocampillo@hotmail.es,938485777,http://www.seraportiendasonline.com/1491.joyeria-online
Jorge Juan Joyeros,https://www.diamantesdecompromiso.com,,0,,917022151,http://www.seraportiendasonline.com/1183.anillos-de-comrpomiso-con-diamantes-y-piedras-preciosas
Joyería al por mayor y carpas plegables,https://www.karissmaplateria.com/,,0,,952276845,http://www.seraportiendasonline.com/809.venta-al-por-mayor-de-joyeria-al-por-mayor-joyas-al-mayor-y-carpas-plegables
Joyería Lago,https://joyerialago.com/,prestashop,1,tienda@joyerialago.com,956591398,http://www.seraportiendasonline.com/1704.joyeria-online-de-confianza
